timestamp,container,cpu_percent,mem_usage_mb
1775192996,bench_sub_30,0.05%,21.21MiB / 15.52GiB
1775192996,bench_sub_29,0.06%,21.28MiB / 15.52GiB
1775192996,bench_sub_28,0.05%,21.23MiB / 15.52GiB
1775192996,bench_sub_27,0.05%,21.25MiB / 15.52GiB
1775192996,bench_sub_26,0.04%,21.23MiB / 15.52GiB
1775192996,bench_sub_25,0.04%,21.26MiB / 15.52GiB
1775192996,bench_sub_24,0.04%,21.29MiB / 15.52GiB
1775192996,bench_sub_23,0.15%,21.19MiB / 15.52GiB
1775192996,bench_sub_22,0.04%,21.31MiB / 15.52GiB
1775192996,bench_sub_21,0.04%,21.16MiB / 15.52GiB
1775192996,bench_sub_20,0.07%,21.3MiB / 15.52GiB
1775192996,bench_sub_19,0.06%,21.26MiB / 15.52GiB
1775192996,bench_sub_18,0.08%,21.32MiB / 15.52GiB
1775192996,bench_sub_17,0.05%,21.28MiB / 15.52GiB
1775192996,bench_sub_16,0.05%,21.29MiB / 15.52GiB
1775192996,bench_sub_15,0.05%,21.3MiB / 15.52GiB
1775192996,bench_sub_14,0.05%,21.32MiB / 15.52GiB
1775192996,bench_sub_13,0.05%,21.32MiB / 15.52GiB
1775192996,bench_sub_12,0.04%,21.27MiB / 15.52GiB
1775192996,bench_sub_11,0.05%,21.33MiB / 15.52GiB
1775192996,bench_sub_10,0.05%,21.31MiB / 15.52GiB
1775192996,bench_sub_9,0.05%,21.32MiB / 15.52GiB
1775192996,bench_sub_8,0.14%,21.34MiB / 15.52GiB
1775192996,bench_sub_7,0.15%,21.3MiB / 15.52GiB
1775192996,bench_sub_6,0.05%,21.32MiB / 15.52GiB
1775192996,bench_sub_5,0.05%,21.34MiB / 15.52GiB
1775192996,bench_sub_4,0.05%,21.25MiB / 15.52GiB
1775192996,bench_sub_3,0.05%,21.31MiB / 15.52GiB
1775192996,bench_sub_2,0.05%,21.33MiB / 15.52GiB
1775192996,bench_sub_1,0.06%,21.29MiB / 15.52GiB
