seq,publisher_id,subscriber_id,t1_ns,t2_ns,receive_ts_ns,publish_overhead_ns,delivery_ns,latency_ns,is_warmup,discovery_time_ns
0,0,21,164804367377328,164804367377369,164804375876768,41,8499399,8499440,1,9889470827
1,0,21,164804377391681,164804377391722,164804377812054,41,420332,420373,1,9889470827
2,0,21,164804387375141,164804387375193,164804387809752,52,434559,434611,1,9889470827
3,0,21,164804397400817,164804397400868,164804397774679,51,373811,373862,1,9889470827
4,0,21,164804407441946,164804407441997,164804407884072,51,442075,442126,1,9889470827
5,0,21,164804417440217,164804417440270,164804417985660,53,545390,545443,1,9889470827
6,0,21,164804427367062,164804427367114,164804428353295,52,986181,986233,1,9889470827
7,0,21,164804437408796,164804437408847,164804437966880,51,558033,558084,1,9889470827
8,0,21,164804447359839,164804447359900,164804447924786,61,564886,564947,1,9889470827
9,0,21,164804457367340,164804457367381,164804458048384,41,681003,681044,1,9889470827
10,0,21,164804467376268,164804467376320,164804467950749,52,574429,574481,1,9889470827
11,0,21,164804477446298,164804477446349,164804478153167,51,706818,706869,1,9889470827
12,0,21,164804487414099,164804487414150,164804488060696,51,646546,646597,1,9889470827
13,0,21,164804497392531,164804497392582,164804498155852,51,763270,763321,1,9889470827
14,0,21,164804507441698,164804507441749,164804508417933,51,976184,976235,1,9889470827
15,0,21,164804517440528,164804517440579,164804517791996,51,351417,351468,1,9889470827
16,0,21,164804527443755,164804527443807,164804527915477,52,471670,471722,1,9889470827
17,0,21,164804537445544,164804537445595,164804538198984,51,753389,753440,1,9889470827
18,0,21,164804547442191,164804547442242,164804548225690,51,783448,783499,1,9889470827
19,0,21,164804557446972,164804557447029,164804557924333,57,477304,477361,1,9889470827
20,0,21,164804567405075,164804567405133,164804567740636,58,335503,335561,1,9889470827
21,0,21,164804577440603,164804577440654,164804577863307,51,422653,422704,1,9889470827
22,0,21,164804587400038,164804587400091,164804587776067,53,375976,376029,1,9889470827
23,0,21,164804597443263,164804597443313,164804597910610,50,467297,467347,1,9889470827
24,0,21,164804607444070,164804607444121,164804608044815,51,600694,600745,1,9889470827
25,0,21,164804617433270,164804617433328,164804617777719,58,344391,344449,1,9889470827
26,0,21,164804627428535,164804627428586,164804627965030,51,536444,536495,1,9889470827
27,0,21,164804637444926,164804637444983,164804637984837,57,539854,539911,1,9889470827
28,0,21,164804647415258,164804647415315,164804647903484,57,488169,488226,1,9889470827
29,0,21,164804657394848,164804657394898,164804657723935,50,329037,329087,1,9889470827
30,0,21,164804667385697,164804667385748,164804667724470,51,338722,338773,1,9889470827
31,0,21,164804677386540,164804677386593,164804677787929,53,401336,401389,1,9889470827
32,0,21,164804687400632,164804687400683,164804688246408,51,845725,845776,1,9889470827
33,0,21,164804697445083,164804697445140,164804698325235,57,880095,880152,1,9889470827
34,0,21,164804707444128,164804707444185,164804707764949,57,320764,320821,1,9889470827
35,0,21,164804717461771,164804717461821,164804717953632,50,491811,491861,1,9889470827
36,0,21,164804727478487,164804727478537,164804727784712,50,306175,306225,1,9889470827
37,0,21,164804737442042,164804737442094,164804737793265,52,351171,351223,1,9889470827
38,0,21,164804747422983,164804747423040,164804748414617,57,991577,991634,1,9889470827
39,0,21,164804757445365,164804757445415,164804758010287,50,564872,564922,1,9889470827
40,0,21,164804767445581,164804767445630,164804767813620,49,367990,368039,1,9889470827
41,0,21,164804777375399,164804777375448,164804777853585,49,478137,478186,1,9889470827
42,0,21,164804787443523,164804787443580,164804787854729,57,411149,411206,1,9889470827
43,0,21,164804797407941,164804797407992,164804797898791,51,490799,490850,1,9889470827
44,0,21,164804807445163,164804807445214,164804807792852,51,347638,347689,1,9889470827
45,0,21,164804817444362,164804817444413,164804817939272,51,494859,494910,1,9889470827
46,0,21,164804827427648,164804827427705,164804827774281,57,346576,346633,1,9889470827
47,0,21,164804837445108,164804837445159,164804837930675,51,485516,485567,1,9889470827
48,0,21,164804847409429,164804847409494,164804847746154,65,336660,336725,1,9889470827
49,0,21,164804857446513,164804857446572,164804858042331,59,595759,595818,1,9889470827
50,0,21,164804867442388,164804867442445,164804868203653,57,761208,761265,1,9889470827
51,0,21,164804877447076,164804877447127,164804878187154,51,740027,740078,1,9889470827
52,0,21,164804887387923,164804887387974,164804887982473,51,594499,594550,1,9889470827
53,0,21,164804897449309,164804897449360,164804898123757,51,674397,674448,1,9889470827
54,0,21,164804907448265,164804907448316,164804908106258,51,657942,657993,1,9889470827
55,0,21,164804917441800,164804917441852,164804917941825,52,499973,500025,1,9889470827
56,0,21,164804927413549,164804927413602,164804927967689,53,554087,554140,1,9889470827
57,0,21,164804937445782,164804937445833,164804937875194,51,429361,429412,1,9889470827
58,0,21,164804947390324,164804947390414,164804948046556,90,656142,656232,1,9889470827
59,0,21,164804957445455,164804957445513,164804957803142,58,357629,357687,1,9889470827
60,0,21,164804967443518,164804967443570,164804968063284,52,619714,619766,1,9889470827
61,0,21,164804977445020,164804977445072,164804978044068,52,598996,599048,1,9889470827
62,0,21,164804987418120,164804987418179,164804988116703,59,698524,698583,1,9889470827
63,0,21,164804997445715,164804997445773,164804998182757,58,736984,737042,1,9889470827
64,0,21,164805007393239,164805007393290,164805008098259,51,704969,705020,1,9889470827
65,0,21,164805017393506,164805017393557,164805017880361,51,486804,486855,1,9889470827
66,0,21,164805027446384,164805027446435,164805028029504,51,583069,583120,1,9889470827
67,0,21,164805037401250,164805037401309,164805037957353,59,556044,556103,1,9889470827
68,0,21,164805047448347,164805047448404,164805048198380,57,749976,750033,1,9889470827
69,0,21,164805057418924,164805057418982,164805058004114,58,585132,585190,1,9889470827
70,0,21,164805067444917,164805067444974,164805068396646,57,951672,951729,1,9889470827
71,0,21,164805077448049,164805077448100,164805078133794,51,685694,685745,1,9889470827
72,0,21,164805087447679,164805087447730,164805088288379,51,840649,840700,1,9889470827
73,0,21,164805097410785,164805097410850,164805098323504,65,912654,912719,1,9889470827
74,0,21,164805107444386,164805107444439,164805108257153,53,812714,812767,1,9889470827
75,0,21,164805117402766,164805117402817,164805118051385,51,648568,648619,1,9889470827
76,0,21,164805127447214,164805127447272,164805128319366,58,872094,872152,1,9889470827
77,0,21,164805137447423,164805137447474,164805137761220,51,313746,313797,1,9889470827
78,0,21,164805147448014,164805147448071,164805147830591,57,382520,382577,1,9889470827
79,0,21,164805157449383,164805157449433,164805157834021,50,384588,384638,1,9889470827
80,0,21,164805167444923,164805167444982,164805167821437,59,376455,376514,1,9889470827
81,0,21,164805177444772,164805177444823,164805177829135,51,384312,384363,1,9889470827
82,0,21,164805187426191,164805187426242,164805187795774,51,369532,369583,1,9889470827
83,0,21,164805197447995,164805197448046,164805197905547,51,457501,457552,1,9889470827
84,0,21,164805207448442,164805207448493,164805207875502,51,427009,427060,1,9889470827
85,0,21,164805217452498,164805217452556,164805218037907,58,585351,585409,1,9889470827
86,0,21,164805227447511,164805227447569,164805228139727,58,692158,692216,1,9889470827
87,0,21,164805237448985,164805237449042,164805238084309,57,635267,635324,1,9889470827
88,0,21,164805247415194,164805247415245,164805248211287,51,796042,796093,1,9889470827
89,0,21,164805257449584,164805257449636,164805258166414,52,716778,716830,1,9889470827
90,0,21,164805267427267,164805267427324,164805268284425,57,857101,857158,1,9889470827
