timestamp,container,cpu_percent,mem_usage_mb
1775224809,bench_sub_10,0.00%,19.6MiB / 15.52GiB
1775224809,bench_sub_9,0.00%,20.05MiB / 15.52GiB
1775224809,bench_sub_8,0.00%,19.96MiB / 15.52GiB
1775224809,bench_sub_7,0.00%,21.48MiB / 15.52GiB
1775224809,bench_sub_6,0.00%,22.3MiB / 15.52GiB
1775224809,bench_sub_5,0.00%,21.03MiB / 15.52GiB
1775224809,bench_sub_4,0.00%,20.92MiB / 15.52GiB
1775224809,bench_sub_3,0.00%,20.84MiB / 15.52GiB
1775224809,bench_sub_2,0.00%,27.63MiB / 15.52GiB
1775224809,bench_sub_1,0.00%,24.54MiB / 15.52GiB
1775224812,bench_sub_10,0.72%,21.84MiB / 15.52GiB
1775224812,bench_sub_9,0.71%,22.3MiB / 15.52GiB
1775224812,bench_sub_8,0.73%,22.21MiB / 15.52GiB
1775224812,bench_sub_7,0.72%,23.87MiB / 15.52GiB
1775224812,bench_sub_6,0.73%,24.73MiB / 15.52GiB
1775224812,bench_sub_5,0.63%,23.37MiB / 15.52GiB
1775224812,bench_sub_4,0.61%,23.45MiB / 15.52GiB
1775224812,bench_sub_3,0.70%,23.14MiB / 15.52GiB
1775224812,bench_sub_2,0.62%,30.09MiB / 15.52GiB
1775224812,bench_sub_1,0.68%,26.03MiB / 15.52GiB
1775224815,bench_sub_10,0.83%,21.85MiB / 15.52GiB
1775224815,bench_sub_9,0.82%,22.31MiB / 15.52GiB
1775224815,bench_sub_8,0.84%,22.22MiB / 15.52GiB
1775224815,bench_sub_7,0.78%,23.93MiB / 15.52GiB
1775224815,bench_sub_6,0.75%,24.73MiB / 15.52GiB
1775224815,bench_sub_5,0.74%,23.57MiB / 15.52GiB
1775224815,bench_sub_4,0.78%,23.46MiB / 15.52GiB
1775224815,bench_sub_3,0.78%,23.15MiB / 15.52GiB
1775224815,bench_sub_2,0.78%,30.03MiB / 15.52GiB
1775224815,bench_sub_1,0.76%,27.07MiB / 15.52GiB
1775224818,bench_sub_10,0.73%,21.85MiB / 15.52GiB
1775224818,bench_sub_9,0.73%,22.32MiB / 15.52GiB
1775224818,bench_sub_8,0.77%,22.23MiB / 15.52GiB
1775224818,bench_sub_7,0.70%,23.93MiB / 15.52GiB
1775224818,bench_sub_6,0.69%,24.73MiB / 15.52GiB
1775224818,bench_sub_5,0.72%,23.57MiB / 15.52GiB
1775224818,bench_sub_4,0.70%,23.46MiB / 15.52GiB
1775224818,bench_sub_3,0.71%,23.18MiB / 15.52GiB
1775224818,bench_sub_2,0.69%,30MiB / 15.52GiB
1775224818,bench_sub_1,0.69%,27.07MiB / 15.52GiB
1775224821,bench_sub_10,0.73%,21.87MiB / 15.52GiB
1775224821,bench_sub_9,0.69%,22.33MiB / 15.52GiB
1775224821,bench_sub_8,0.66%,22.24MiB / 15.52GiB
1775224821,bench_sub_7,0.65%,23.95MiB / 15.52GiB
1775224821,bench_sub_6,0.65%,24.75MiB / 15.52GiB
1775224821,bench_sub_5,0.63%,23.59MiB / 15.52GiB
1775224821,bench_sub_4,0.61%,23.47MiB / 15.52GiB
1775224821,bench_sub_3,0.62%,23.16MiB / 15.52GiB
1775224821,bench_sub_2,0.64%,30.02MiB / 15.52GiB
1775224821,bench_sub_1,0.60%,27.07MiB / 15.52GiB
1775224824,bench_sub_10,1.05%,21.88MiB / 15.52GiB
1775224824,bench_sub_9,1.07%,22.34MiB / 15.52GiB
1775224824,bench_sub_8,1.12%,22.25MiB / 15.52GiB
1775224824,bench_sub_7,1.05%,23.96MiB / 15.52GiB
1775224824,bench_sub_6,0.96%,24.75MiB / 15.52GiB
1775224824,bench_sub_5,1.13%,23.59MiB / 15.52GiB
1775224824,bench_sub_4,1.14%,23.48MiB / 15.52GiB
1775224824,bench_sub_3,0.98%,23.17MiB / 15.52GiB
1775224824,bench_sub_2,0.98%,30.03MiB / 15.52GiB
1775224824,bench_sub_1,1.14%,27.08MiB / 15.52GiB
1775224828,bench_sub_10,0.72%,21.88MiB / 15.52GiB
1775224828,bench_sub_9,0.73%,22.34MiB / 15.52GiB
1775224828,bench_sub_8,0.67%,22.25MiB / 15.52GiB
1775224828,bench_sub_7,0.72%,23.96MiB / 15.52GiB
1775224828,bench_sub_6,0.64%,24.76MiB / 15.52GiB
1775224828,bench_sub_5,0.74%,23.59MiB / 15.52GiB
1775224828,bench_sub_4,0.68%,23.48MiB / 15.52GiB
1775224828,bench_sub_3,0.70%,23.18MiB / 15.52GiB
1775224828,bench_sub_2,0.65%,30.03MiB / 15.52GiB
1775224828,bench_sub_1,0.68%,27.1MiB / 15.52GiB
1775224831,bench_sub_10,0.73%,21.89MiB / 15.52GiB
1775224831,bench_sub_9,0.71%,22.36MiB / 15.52GiB
1775224831,bench_sub_8,0.74%,22.26MiB / 15.52GiB
1775224831,bench_sub_7,0.71%,23.97MiB / 15.52GiB
1775224831,bench_sub_6,0.70%,24.77MiB / 15.52GiB
1775224831,bench_sub_5,0.69%,23.61MiB / 15.52GiB
1775224831,bench_sub_4,0.67%,23.49MiB / 15.52GiB
1775224831,bench_sub_3,0.66%,23.19MiB / 15.52GiB
1775224831,bench_sub_2,0.69%,30.04MiB / 15.52GiB
1775224831,bench_sub_1,0.70%,27.11MiB / 15.52GiB
1775224834,bench_sub_10,0.60%,21.9MiB / 15.52GiB
1775224834,bench_sub_9,0.58%,22.36MiB / 15.52GiB
1775224834,bench_sub_8,0.59%,22.26MiB / 15.52GiB
1775224834,bench_sub_7,0.60%,23.97MiB / 15.52GiB
1775224834,bench_sub_6,0.55%,24.77MiB / 15.52GiB
1775224834,bench_sub_5,0.58%,23.61MiB / 15.52GiB
1775224834,bench_sub_4,0.57%,23.5MiB / 15.52GiB
1775224834,bench_sub_3,0.57%,23.19MiB / 15.52GiB
1775224834,bench_sub_2,0.56%,30.04MiB / 15.52GiB
1775224834,bench_sub_1,0.56%,27.11MiB / 15.52GiB
1775224837,bench_sub_10,1.07%,21.91MiB / 15.52GiB
1775224837,bench_sub_9,1.01%,22.38MiB / 15.52GiB
1775224837,bench_sub_8,1.16%,22.28MiB / 15.52GiB
1775224837,bench_sub_7,0.98%,23.99MiB / 15.52GiB
1775224837,bench_sub_6,1.01%,24.79MiB / 15.52GiB
1775224837,bench_sub_5,1.02%,23.62MiB / 15.52GiB
1775224837,bench_sub_4,1.01%,23.51MiB / 15.52GiB
1775224837,bench_sub_3,0.97%,23.25MiB / 15.52GiB
1775224837,bench_sub_2,0.99%,30.06MiB / 15.52GiB
1775224837,bench_sub_1,1.23%,27.11MiB / 15.52GiB
1775224840,bench_sub_10,1.09%,21.91MiB / 15.52GiB
1775224840,bench_sub_9,1.05%,22.38MiB / 15.52GiB
1775224840,bench_sub_8,1.06%,22.28MiB / 15.52GiB
1775224840,bench_sub_7,1.03%,23.99MiB / 15.52GiB
1775224840,bench_sub_6,0.95%,24.79MiB / 15.52GiB
1775224840,bench_sub_5,1.00%,23.62MiB / 15.52GiB
1775224840,bench_sub_4,0.98%,23.52MiB / 15.52GiB
1775224840,bench_sub_3,0.99%,23.21MiB / 15.52GiB
1775224840,bench_sub_2,0.96%,30.06MiB / 15.52GiB
1775224840,bench_sub_1,0.97%,27.13MiB / 15.52GiB
1775224843,bench_sub_10,0.83%,21.92MiB / 15.52GiB
1775224843,bench_sub_9,0.85%,22.38MiB / 15.52GiB
1775224843,bench_sub_8,0.87%,22.29MiB / 15.52GiB
1775224843,bench_sub_7,0.83%,24MiB / 15.52GiB
1775224843,bench_sub_6,0.74%,24.79MiB / 15.52GiB
1775224843,bench_sub_5,0.87%,23.63MiB / 15.52GiB
1775224843,bench_sub_4,0.73%,23.52MiB / 15.52GiB
1775224843,bench_sub_3,0.70%,23.21MiB / 15.52GiB
1775224843,bench_sub_2,0.75%,30.06MiB / 15.52GiB
1775224843,bench_sub_1,0.75%,27.13MiB / 15.52GiB
1775224846,bench_sub_10,0.80%,21.93MiB / 15.52GiB
1775224846,bench_sub_9,1.27%,22.39MiB / 15.52GiB
1775224846,bench_sub_8,1.20%,22.3MiB / 15.52GiB
1775224846,bench_sub_7,1.15%,24.01MiB / 15.52GiB
1775224846,bench_sub_6,1.15%,24.81MiB / 15.52GiB
1775224846,bench_sub_5,1.16%,23.64MiB / 15.52GiB
1775224846,bench_sub_4,1.15%,23.53MiB / 15.52GiB
1775224846,bench_sub_3,1.16%,23.22MiB / 15.52GiB
1775224846,bench_sub_2,1.10%,30.09MiB / 15.52GiB
1775224846,bench_sub_1,1.10%,27.14MiB / 15.52GiB
1775224849,bench_sub_10,0.81%,21.93MiB / 15.52GiB
1775224849,bench_sub_9,0.78%,22.39MiB / 15.52GiB
1775224849,bench_sub_8,0.84%,22.3MiB / 15.52GiB
1775224849,bench_sub_7,0.88%,24.01MiB / 15.52GiB
1775224849,bench_sub_6,0.74%,24.81MiB / 15.52GiB
1775224849,bench_sub_5,0.85%,23.64MiB / 15.52GiB
1775224849,bench_sub_4,0.72%,23.53MiB / 15.52GiB
1775224849,bench_sub_3,0.72%,23.23MiB / 15.52GiB
1775224849,bench_sub_2,0.73%,30.09MiB / 15.52GiB
1775224849,bench_sub_1,0.56%,27.14MiB / 15.52GiB
1775224852,bench_sub_10,0.99%,21.94MiB / 15.52GiB
1775224852,bench_sub_9,0.91%,22.4MiB / 15.52GiB
1775224852,bench_sub_8,0.87%,22.3MiB / 15.52GiB
1775224852,bench_sub_7,0.84%,24.01MiB / 15.52GiB
1775224852,bench_sub_6,0.95%,24.81MiB / 15.52GiB
1775224852,bench_sub_5,0.84%,23.64MiB / 15.52GiB
1775224852,bench_sub_4,0.93%,23.54MiB / 15.52GiB
1775224852,bench_sub_3,0.84%,23.23MiB / 15.52GiB
1775224852,bench_sub_2,0.84%,30.12MiB / 15.52GiB
1775224852,bench_sub_1,0.89%,27.15MiB / 15.52GiB
1775224855,bench_sub_10,0.60%,21.95MiB / 15.52GiB
1775224855,bench_sub_9,0.65%,22.41MiB / 15.52GiB
1775224855,bench_sub_8,0.64%,22.32MiB / 15.52GiB
1775224855,bench_sub_7,0.59%,24.03MiB / 15.52GiB
1775224855,bench_sub_6,0.59%,24.82MiB / 15.52GiB
1775224855,bench_sub_5,0.59%,23.66MiB / 15.52GiB
1775224855,bench_sub_4,0.56%,23.55MiB / 15.52GiB
1775224855,bench_sub_3,0.55%,23.24MiB / 15.52GiB
1775224855,bench_sub_2,0.58%,30.11MiB / 15.52GiB
1775224855,bench_sub_1,0.58%,27.16MiB / 15.52GiB
1775224858,bench_sub_10,0.84%,21.96MiB / 15.52GiB
1775224858,bench_sub_9,0.91%,22.41MiB / 15.52GiB
1775224858,bench_sub_8,0.87%,22.32MiB / 15.52GiB
1775224858,bench_sub_7,0.83%,24.03MiB / 15.52GiB
1775224858,bench_sub_6,0.80%,24.83MiB / 15.52GiB
1775224858,bench_sub_5,0.88%,23.66MiB / 15.52GiB
1775224858,bench_sub_4,0.81%,23.55MiB / 15.52GiB
1775224858,bench_sub_3,0.80%,23.25MiB / 15.52GiB
