seq,publisher_id,subscriber_id,t1_ns,t2_ns,receive_ts_ns,publish_overhead_ns,delivery_ns,latency_ns,is_warmup,discovery_time_ns
0,0,3,196619241187528,196619241187577,196619245398871,49,4211294,4211343,1,5628397408
1,0,3,196619341200990,196619341201054,196619344886521,64,3685467,3685531,1,5628397408
2,0,3,196619441073525,196619441073590,196619444446253,65,3372663,3372728,1,5628397408
3,0,3,196619541083463,196619541083528,196619544742145,65,3658617,3658682,1,5628397408
4,0,3,196619641064749,196619641064811,196619645362524,62,4297713,4297775,1,5628397408
5,0,3,196619741085788,196619741085853,196619744684242,65,3598389,3598454,1,5628397408
6,0,3,196619841077696,196619841077760,196619844502553,64,3424793,3424857,1,5628397408
7,0,3,196619941079087,196619941079167,196619945611194,80,4532027,4532107,1,5628397408
8,0,3,196620041072696,196620041072772,196620045581895,76,4509123,4509199,1,5628397408
9,0,3,196620141073429,196620141073491,196620148471109,62,7397618,7397680,1,5628397408
10,0,3,196620241079624,196620241079690,196620244588045,66,3508355,3508421,1,5628397408
11,0,3,196620341059592,196620341059658,196620344876175,66,3816517,3816583,1,5628397408
12,0,3,196620441097760,196620441097833,196620444677644,73,3579811,3579884,1,5628397408
13,0,3,196620541081286,196620541081351,196620544731493,65,3650142,3650207,1,5628397408
14,0,3,196620641098470,196620641098534,196620645181151,64,4082617,4082681,1,5628397408
15,0,3,196620741077444,196620741077544,196620745242469,100,4164925,4165025,1,5628397408
16,0,3,196620841109287,196620841109352,196620844333076,65,3223724,3223789,1,5628397408
17,0,3,196620941085289,196620941085342,196620945844673,53,4759331,4759384,1,5628397408
18,0,3,196621041090800,196621041090860,196621044281344,60,3190484,3190544,1,5628397408
19,0,3,196621141066517,196621141066568,196621144395341,51,3328773,3328824,1,5628397408
20,0,3,196621241208189,196621241208450,196621246065473,261,4857023,4857284,1,5628397408
21,0,3,196621341093503,196621341093567,196621344646479,64,3552912,3552976,1,5628397408
22,0,3,196621441149444,196621441149507,196621444845618,63,3696111,3696174,1,5628397408
23,0,3,196621541075876,196621541075955,196621546080527,79,5004572,5004651,1,5628397408
24,0,3,196621641088599,196621641088688,196621645554512,89,4465824,4465913,1,5628397408
25,0,3,196621741149526,196621741149591,196621744609239,65,3459648,3459713,1,5628397408
26,0,3,196621841149009,196621841149081,196621844532595,72,3383514,3383586,1,5628397408
27,0,3,196621941151023,196621941151096,196621945410497,73,4259401,4259474,1,5628397408
28,0,3,196622041148618,196622041148683,196622044478155,65,3329472,3329537,1,5628397408
29,0,3,196622141111896,196622141111959,196622144181980,63,3070021,3070084,1,5628397408
30,0,3,196622241104261,196622241104355,196622245873366,94,4769011,4769105,1,5628397408
31,0,3,196622341258719,196622341258779,196622345379249,60,4120470,4120530,1,5628397408
32,0,3,196622441122724,196622441122782,196622444370542,58,3247760,3247818,1,5628397408
33,0,3,196622541158045,196622541158109,196622544752010,64,3593901,3593965,1,5628397408
34,0,3,196622641158287,196622641158351,196622644383719,64,3225368,3225432,1,5628397408
35,0,3,196622741160352,196622741160417,196622744662253,65,3501836,3501901,1,5628397408
36,0,3,196622841131551,196622841131616,196622844422685,65,3291069,3291134,1,5628397408
37,0,3,196622941147358,196622941147423,196622944353554,65,3206131,3206196,1,5628397408
38,0,3,196623041162427,196623041162492,196623044368106,65,3205614,3205679,1,5628397408
39,0,3,196623141138250,196623141138319,196623144098385,69,2960066,2960135,1,5628397408
40,0,3,196623241175281,196623241175349,196623245177537,68,4002188,4002256,1,5628397408
41,0,3,196623341167944,196623341168017,196623344357834,73,3189817,3189890,1,5628397408
42,0,3,196623441102077,196623441102151,196623444446705,74,3344554,3344628,1,5628397408
43,0,3,196623541169225,196623541169290,196623544286372,65,3117082,3117147,1,5628397408
44,0,3,196623641133411,196623641133482,196623644379053,71,3245571,3245642,1,5628397408
45,0,3,196623741173184,196623741173257,196623744405520,73,3232263,3232336,1,5628397408
46,0,3,196623841170293,196623841170358,196623844333263,65,3162905,3162970,1,5628397408
47,0,3,196623941131483,196623941131547,196623944164794,64,3033247,3033311,1,5628397408
48,0,3,196624041133629,196624041133694,196624044524373,65,3390679,3390744,1,5628397408
49,0,3,196624141140073,196624141140138,196624144616168,65,3476030,3476095,1,5628397408
50,0,3,196624241152471,196624241152535,196624244769244,64,3616709,3616773,1,5628397408
51,0,3,196624341137035,196624341137099,196624344680901,64,3543802,3543866,1,5628397408
52,0,3,196624441319274,196624441319515,196624452443738,241,11124223,11124464,1,5628397408
53,0,3,196624541219803,196624541220034,196624553605224,231,12385190,12385421,1,5628397408
54,0,3,196624641135458,196624641135530,196624644404225,72,3268695,3268767,1,5628397408
55,0,3,196624741175149,196624741175302,196624747191748,153,6016446,6016599,1,5628397408
56,0,3,196624841184135,196624841184199,196624844512392,64,3328193,3328257,1,5628397408
57,0,3,196624941123547,196624941123632,196624944903267,85,3779635,3779720,1,5628397408
58,0,3,196625041187687,196625041187751,196625044773086,64,3585335,3585399,1,5628397408
59,0,3,196625141139360,196625141139425,196625144853186,65,3713761,3713826,1,5628397408
60,0,3,196625241148324,196625241148390,196625244688992,66,3540602,3540668,1,5628397408
61,0,3,196625341189196,196625341189260,196625344153777,64,2964517,2964581,1,5628397408
62,0,3,196625441223278,196625441223375,196625446313549,97,5090174,5090271,1,5628397408
63,0,3,196625541148306,196625541148372,196625544509173,66,3360801,3360867,1,5628397408
64,0,3,196625641144851,196625641144916,196625645175725,65,4030809,4030874,1,5628397408
65,0,3,196625741150879,196625741150942,196625744660725,63,3509783,3509846,1,5628397408
66,0,3,196625841195689,196625841195754,196625844939713,65,3743959,3744024,1,5628397408
67,0,3,196625941122730,196625941122781,196625944365965,51,3243184,3243235,1,5628397408
68,0,3,196626041159096,196626041159161,196626044473439,65,3314278,3314343,1,5628397408
69,0,3,196626141165711,196626141165776,196626144377236,65,3211460,3211525,1,5628397408
70,0,3,196626241139328,196626241139393,196626244370199,65,3230806,3230871,1,5628397408
71,0,3,196626341151642,196626341151707,196626344302342,65,3150635,3150700,1,5628397408
72,0,3,196626441204773,196626441204847,196626444876130,74,3671283,3671357,1,5628397408
73,0,3,196626541162227,196626541162299,196626544803417,72,3641118,3641190,1,5628397408
74,0,3,196626641156916,196626641156982,196626644335381,66,3178399,3178465,1,5628397408
75,0,3,196626741138509,196626741138581,196626744818004,72,3679423,3679495,1,5628397408
76,0,3,196626841155674,196626841155740,196626844629117,66,3473377,3473443,1,5628397408
77,0,3,196626941207582,196626941207647,196626944529506,65,3321859,3321924,1,5628397408
78,0,3,196627041277682,196627041277893,196627045959309,211,4681416,4681627,1,5628397408
79,0,3,196627141161611,196627141161673,196627144353975,62,3192302,3192364,1,5628397408
80,0,3,196627241187640,196627241187739,196627246198720,99,5010981,5011080,1,5628397408
81,0,3,196627341251094,196627341251193,196627346564652,99,5313459,5313558,1,5628397408
82,0,3,196627441218277,196627441218435,196627446347796,158,5129361,5129519,1,5628397408
83,0,3,196627541198927,196627541199038,196627546505408,111,5306370,5306481,1,5628397408
84,0,3,196627641176748,196627641176844,196627645456714,96,4279870,4279966,1,5628397408
85,0,3,196627741297404,196627741297571,196627748582007,167,7284436,7284603,1,5628397408
86,0,3,196627841176573,196627841176637,196627844689742,64,3513105,3513169,1,5628397408
87,0,3,196627941219653,196627941219810,196627949226152,157,8006342,8006499,1,5628397408
88,0,3,196628041220948,196628041221104,196628048264544,156,7043440,7043596,1,5628397408
89,0,3,196628141207297,196628141207461,196628148587658,164,7380197,7380361,1,5628397408
90,0,3,196628241196770,196628241196846,196628245063246,76,3866400,3866476,1,5628397408
91,0,3,196628341232018,196628341232102,196628345324969,84,4092867,4092951,1,5628397408
92,0,3,196628441179677,196628441179741,196628444302276,64,3122535,3122599,1,5628397408
93,0,3,196628541182945,196628541183010,196628544835363,65,3652353,3652418,1,5628397408
94,0,3,196628641240495,196628641240578,196628644869142,83,3628564,3628647,1,5628397408
95,0,3,196628741194211,196628741194284,196628744508160,73,3313876,3313949,1,5628397408
96,0,3,196628841176190,196628841176250,196628844940061,60,3763811,3763871,1,5628397408
97,0,3,196628941232534,196628941232598,196628944788176,64,3555578,3555642,1,5628397408
98,0,3,196629041189514,196629041189579,196629044243410,65,3053831,3053896,1,5628397408
99,0,3,196629141185492,196629141185570,196629146044178,78,4858608,4858686,1,5628397408
100,0,3,196629241169298,196629241169357,196629244654056,59,3484699,3484758,1,5628397408
101,0,3,196629341168783,196629341168847,196629345812438,64,4643591,4643655,1,5628397408
102,0,3,196629441169619,196629441169681,196629445508308,62,4338627,4338689,1,5628397408
103,0,3,196629541197011,196629541197076,196629544938411,65,3741335,3741400,1,5628397408
104,0,3,196629641191635,196629641191700,196629644698454,65,3506754,3506819,1,5628397408
105,0,3,196629741238341,196629741238414,196629744648995,73,3410581,3410654,1,5628397408
106,0,3,196629841238259,196629841238324,196629844543449,65,3305125,3305190,1,5628397408
107,0,3,196629941223456,196629941223527,196629944913209,71,3689682,3689753,1,5628397408
108,0,3,196630041239863,196630041239928,196630044168978,65,2929050,2929115,1,5628397408
109,0,3,196630141243621,196630141243686,196630144948182,65,3704496,3704561,1,5628397408
110,0,3,196630241185077,196630241185142,196630244439223,65,3254081,3254146,1,5628397408
111,0,3,196630341245884,196630341245958,196630344470856,74,3224898,3224972,1,5628397408
112,0,3,196630441247374,196630441247439,196630444509006,65,3261567,3261632,1,5628397408
113,0,3,196630541246561,196630541246625,196630544514958,64,3268333,3268397,1,5628397408
114,0,3,196630641263104,196630641263319,196630646348985,215,5085666,5085881,1,5628397408
115,0,3,196630741180979,196630741181044,196630744999069,65,3818025,3818090,1,5628397408
116,0,3,196630841249436,196630841249508,196630844438574,72,3189066,3189138,1,5628397408
117,0,3,196630941249850,196630941249913,196630944807525,63,3557612,3557675,1,5628397408
118,0,3,196631041250739,196631041250811,196631044561185,72,3310374,3310446,1,5628397408
119,0,3,196631141212932,196631141212996,196631144396592,64,3183596,3183660,1,5628397408
120,0,3,196631241221972,196631241222038,196631244851788,66,3629750,3629816,1,5628397408
121,0,3,196631341253957,196631341254021,196631344547777,64,3293756,3293820,1,5628397408
122,0,3,196631441256927,196631441256991,196631444686565,64,3429574,3429638,1,5628397408
123,0,3,196631541224640,196631541224704,196631544438068,64,3213364,3213428,1,5628397408
124,0,3,196631641217143,196631641217208,196631644500319,65,3283111,3283176,1,5628397408
125,0,3,196631741204353,196631741204404,196631744402748,51,3198344,3198395,1,5628397408
126,0,3,196631841259178,196631841259250,196631844323454,72,3064204,3064276,1,5628397408
127,0,3,196631941219906,196631941219980,196631944766542,74,3546562,3546636,1,5628397408
128,0,3,196632041213194,196632041213259,196632044873432,65,3660173,3660238,1,5628397408
129,0,3,196632141210615,196632141210680,196632144371014,65,3160334,3160399,1,5628397408
130,0,3,196632241332487,196632241332697,196632254853950,210,13521253,13521463,1,5628397408
131,0,3,196632341313843,196632341314054,196632352839212,211,11525158,11525369,1,5628397408
132,0,3,196632441267376,196632441267441,196632444768720,65,3501279,3501344,1,5628397408
133,0,3,196632541394800,196632541395767,196632554827432,967,13431665,13432632,1,5628397408
134,0,3,196632641353022,196632641353233,196632655577758,211,14224525,14224736,1,5628397408
135,0,3,196632741302429,196632741302775,196632756239769,346,14936994,14937340,1,5628397408
136,0,3,196632841234826,196632841234892,196632844884328,66,3649436,3649502,1,5628397408
137,0,3,196632941274486,196632941274551,196632944659558,65,3385007,3385072,1,5628397408
138,0,3,196633041274325,196633041274390,196633044634519,65,3360129,3360194,1,5628397408
139,0,3,196633141441916,196633141442171,196633171379875,255,29937704,29937959,1,5628397408
140,0,3,196633241219254,196633241219334,196633245070172,80,3850838,3850918,1,5628397408
141,0,3,196633341217795,196633341217888,196633345177100,93,3959212,3959305,1,5628397408
142,0,3,196633441278170,196633441278234,196633444848954,64,3570720,3570784,1,5628397408
143,0,3,196633541277269,196633541277348,196633544852615,79,3575267,3575346,1,5628397408
144,0,3,196633641281242,196633641281307,196633644759764,65,3478457,3478522,1,5628397408
145,0,3,196633741281248,196633741281311,196633744554175,63,3272864,3272927,1,5628397408
146,0,3,196633841281843,196633841281906,196633848517817,63,7235911,7235974,1,5628397408
147,0,3,196633941244895,196633941244967,196633944582646,72,3337679,3337751,1,5628397408
148,0,3,196634041236158,196634041236229,196634044451410,71,3215181,3215252,1,5628397408
149,0,3,196634141245710,196634141245775,196634144417850,65,3172075,3172140,1,5628397408
150,0,3,196634241230394,196634241230458,196634250837118,64,9606660,9606724,1,5628397408
151,0,3,196634341247095,196634341247168,196634345106271,73,3859103,3859176,1,5628397408
152,0,3,196634441290411,196634441290485,196634444540742,74,3250257,3250331,1,5628397408
153,0,3,196634541295213,196634541295285,196634544460156,72,3164871,3164943,1,5628397408
154,0,3,196634641258873,196634641258940,196634644344468,67,3085528,3085595,1,5628397408
155,0,3,196634741263192,196634741263266,196634744223047,74,2959781,2959855,1,5628397408
156,0,3,196634841222449,196634841222524,196634844179583,75,2957059,2957134,1,5628397408
157,0,3,196634941296155,196634941296220,196634944116415,65,2820195,2820260,1,5628397408
158,0,3,196635041296821,196635041296886,196635044302696,65,3005810,3005875,1,5628397408
159,0,3,196635141333775,196635141334011,196635148912165,236,7578154,7578390,1,5628397408
160,0,3,196635241358302,196635241358512,196635251061964,210,9703452,9703662,1,5628397408
161,0,3,196635341231086,196635341231150,196635344949519,64,3718369,3718433,1,5628397408
162,0,3,196635441302367,196635441302441,196635444613694,74,3311253,3311327,1,5628397408
163,0,3,196635541304079,196635541304151,196635544257465,72,2953314,2953386,1,5628397408
164,0,3,196635641302451,196635641302515,196635644552358,64,3249843,3249907,1,5628397408
165,0,3,196635741262910,196635741262975,196635744723145,65,3460170,3460235,1,5628397408
