middleware,profile,topology,num_nodes,num_subscribers_actual,total_messages,mean_us,median_us,stddev_us,min_us,max_us,p90_us,p95_us,p99_us,pub_overhead_median_us,pub_overhead_mean_us,delivery_median_us,delivery_mean_us,discovery_min_ms,discovery_max_ms,discovery_mean_ms,total_cpu_pct,total_mem_mib
cyclonedds,imu,fanout,2,2,10000,200.7,178.5,79.6,77.1,2324.0,241.8,409.0,502.4,0.1,0.1,178.4,200.6,6515.1,6650.0,6582.5,2.6,39.4
cyclonedds,imu,fanout,5,5,25000,253.5,215.9,125.4,89.1,5329.5,442.3,530.4,656.6,0.1,0.1,215.8,253.4,6411.2,8735.9,7410.1,6.7,97.4
cyclonedds,imu,fanout,10,10,50000,324.6,280.4,211.6,93.2,12162.0,529.8,729.7,1046.3,0.1,0.1,280.4,324.5,6527.6,11041.1,8491.9,12.5,199.2
cyclonedds,imu,fanout,20,20,100000,509.1,431.5,350.3,125.1,25437.0,776.8,1166.7,1795.6,0.1,0.1,431.4,509.1,5460.1,16099.7,10199.6,27.2,415.3
cyclonedds,imu,fanout,30,30,150000,754.6,602.0,6799.6,135.1,481247.0,993.7,1183.6,2161.1,0.1,0.1,601.9,754.5,5987.8,20942.0,12956.4,32.3,649.9
cyclonedds,pointcloud,fanout,10,10,10000,4643.4,3541.5,2676.0,2670.2,26069.0,9772.2,11241.2,12957.8,0.1,0.1,3541.4,4643.3,5549.5,5628.4,5608.7,8.5,244.7
zenoh,imu,fanout,2,2,10000,369.2,288.8,220.9,123.2,5511.6,683.8,726.9,864.9,0.0,0.1,288.7,369.1,6450.0,6450.0,6450.0,62.4,500.8
zenoh,imu,fanout,5,5,25000,420.4,369.0,212.0,152.8,5947.5,634.1,871.0,1199.5,0.0,0.1,369.0,420.3,6412.3,8087.5,7351.9,9.8,104.4
zenoh,imu,fanout,10,10,50000,579.7,516.4,356.9,152.6,10326.6,871.5,1209.3,1846.0,0.0,0.1,516.3,579.6,6404.6,10771.5,8355.0,19.2,220.0
zenoh,imu,fanout,20,20,100000,885.0,811.5,651.0,161.0,60318.5,1288.8,1824.0,3184.6,0.0,0.1,811.4,884.9,5512.7,15383.4,10210.7,38.1,480.0
zenoh,imu,fanout,30,30,150000,1150.0,1025.7,889.5,148.7,27310.2,1754.9,2579.4,4510.6,0.0,0.1,1025.7,1150.0,3411.7,20289.6,12284.0,66.7,788.7
