seq,publisher_id,subscriber_id,t1_ns,t2_ns,receive_ts_ns,publish_overhead_ns,delivery_ns,latency_ns,is_warmup,discovery_time_ns
0,0,4,162692395866743,162692395866796,162692396519138,53,652342,652395,1,8973814578
1,0,4,162692405839960,162692405840000,162692406144889,40,304889,304929,1,8973814578
2,0,4,162692415808785,162692415808832,162692416418577,47,609745,609792,1,8973814578
3,0,4,162692425844012,162692425844060,162692426518277,48,674217,674265,1,8973814578
4,0,4,162692435815822,162692435815906,162692436502255,84,686349,686433,1,8973814578
5,0,4,162692445814145,162692445814200,162692446495247,55,681047,681102,1,8973814578
6,0,4,162692455839875,162692455839921,162692456505695,46,665774,665820,1,8973814578
7,0,4,162692465828708,162692465828769,162692466353284,61,524515,524576,1,8973814578
8,0,4,162692475862952,162692475862998,162692476505613,46,642615,642661,1,8973814578
9,0,4,162692485814377,162692485814445,162692486508692,68,694247,694315,1,8973814578
10,0,4,162692495839797,162692495839843,162692496607516,46,767673,767719,1,8973814578
11,0,4,162692505857757,162692505857804,162692506602585,47,744781,744828,1,8973814578
12,0,4,162692515816016,162692515816062,162692516099776,46,283714,283760,1,8973814578
13,0,4,162692525839341,162692525839394,162692526513293,53,673899,673952,1,8973814578
14,0,4,162692535868167,162692535868213,162692536459967,46,591754,591800,1,8973814578
15,0,4,162692545884868,162692545884914,162692546589469,46,704555,704601,1,8973814578
16,0,4,162692555856035,162692555856082,162692556445683,47,589601,589648,1,8973814578
17,0,4,162692565849740,162692565849785,162692566422650,45,572865,572910,1,8973814578
18,0,4,162692575874827,162692575874894,162692576336827,67,461933,462000,1,8973814578
19,0,4,162692585812179,162692585812223,162692586551716,44,739493,739537,1,8973814578
20,0,4,162692595873367,162692595873418,162692597049142,51,1175724,1175775,1,8973814578
21,0,4,162692605850316,162692605850366,162692606416194,50,565828,565878,1,8973814578
22,0,4,162692615818100,162692615818152,162692616342653,52,524501,524553,1,8973814578
23,0,4,162692625847070,162692625847116,162692626368866,46,521750,521796,1,8973814578
