timestamp,container,cpu_percent,mem_usage_mb
1775190739,bench_sub_2,2.71%,20.03MiB / 15.52GiB
1775190739,bench_sub_2,0.01%,19.7MiB / 15.52GiB
1775190739,bench_sub_1,2.51%,20.23MiB / 15.52GiB
1775190739,bench_sub_1,0.09%,19.73MiB / 15.52GiB
1775190742,bench_sub_2,1.92%,20.05MiB / 15.52GiB
1775190742,bench_sub_1,1.79%,20.25MiB / 15.52GiB
1775190743,bench_sub_2,2.95%,20.12MiB / 15.52GiB
1775190743,bench_sub_1,2.62%,20.25MiB / 15.52GiB
1775190745,bench_sub_2,3.88%,20.13MiB / 15.52GiB
1775190745,bench_sub_1,3.57%,20.27MiB / 15.52GiB
1775190747,bench_sub_2,2.37%,20.14MiB / 15.52GiB
1775190747,bench_sub_1,2.25%,20.28MiB / 15.52GiB
1775190748,bench_sub_2,2.84%,20.15MiB / 15.52GiB
1775190748,bench_sub_1,2.55%,20.29MiB / 15.52GiB
1775190751,bench_sub_2,3.14%,20.15MiB / 15.52GiB
1775190751,bench_sub_2,3.14%,20.15MiB / 15.52GiB
1775190751,bench_sub_1,2.22%,20.28MiB / 15.52GiB
1775190751,bench_sub_1,2.83%,20.29MiB / 15.52GiB
1775190754,bench_sub_2,2.34%,20.16MiB / 15.52GiB
1775190754,bench_sub_1,3.55%,20.3MiB / 15.52GiB
1775190755,bench_sub_2,2.67%,20.17MiB / 15.52GiB
1775190755,bench_sub_1,2.42%,20.31MiB / 15.52GiB
1775190757,bench_sub_2,3.32%,20.18MiB / 15.52GiB
1775190757,bench_sub_1,3.03%,20.32MiB / 15.52GiB
1775190759,bench_sub_2,3.36%,20.2MiB / 15.52GiB
1775190759,bench_sub_1,3.11%,20.33MiB / 15.52GiB
1775190760,bench_sub_2,2.67%,20.2MiB / 15.52GiB
1775190760,bench_sub_1,2.46%,20.34MiB / 15.52GiB
1775190763,bench_sub_2,3.80%,20.22MiB / 15.52GiB
1775190763,bench_sub_1,2.58%,20.35MiB / 15.52GiB
1775190763,bench_sub_2,3.80%,20.22MiB / 15.52GiB
1775190763,bench_sub_1,3.51%,20.36MiB / 15.52GiB
1775190766,bench_sub_2,2.92%,20.24MiB / 15.52GiB
1775190766,bench_sub_1,3.14%,20.37MiB / 15.52GiB
1775190767,bench_sub_2,3.17%,20.25MiB / 15.52GiB
1775190767,bench_sub_1,2.95%,20.38MiB / 15.52GiB
1775190769,bench_sub_2,3.03%,20.26MiB / 15.52GiB
1775190769,bench_sub_1,2.77%,20.39MiB / 15.52GiB
1775190771,bench_sub_2,2.69%,20.27MiB / 15.52GiB
