timestamp,container,cpu_percent,mem_usage_mb
1775225481,bench_sub_10,0.18%,21.47MiB / 15.52GiB
1775225481,bench_sub_9,0.19%,21.5MiB / 15.52GiB
1775225481,bench_sub_8,0.20%,21.58MiB / 15.52GiB
1775225481,bench_sub_7,0.11%,21.81MiB / 15.52GiB
1775225481,bench_sub_6,0.17%,21.74MiB / 15.52GiB
1775225481,bench_sub_5,0.15%,21.43MiB / 15.52GiB
1775225481,bench_sub_4,0.19%,21.63MiB / 15.52GiB
1775225481,bench_sub_3,0.12%,21.47MiB / 15.52GiB
1775225481,bench_sub_2,0.15%,21.59MiB / 15.52GiB
1775225481,bench_sub_1,0.16%,21.77MiB / 15.52GiB
1775225485,bench_sub_10,0.64%,22.96MiB / 15.52GiB
1775225485,bench_sub_9,0.84%,23.11MiB / 15.52GiB
1775225485,bench_sub_8,0.57%,23.13MiB / 15.52GiB
1775225485,bench_sub_7,0.34%,21.93MiB / 15.52GiB
1775225485,bench_sub_6,0.55%,22.89MiB / 15.52GiB
1775225485,bench_sub_5,0.68%,22.91MiB / 15.52GiB
1775225485,bench_sub_4,0.64%,23.09MiB / 15.52GiB
1775225485,bench_sub_3,0.63%,22.97MiB / 15.52GiB
1775225485,bench_sub_2,0.69%,22.62MiB / 15.52GiB
1775225485,bench_sub_1,0.66%,23.2MiB / 15.52GiB
1775225488,bench_sub_10,0.58%,22.88MiB / 15.52GiB
1775225488,bench_sub_9,0.81%,23.02MiB / 15.52GiB
1775225488,bench_sub_8,0.48%,22.96MiB / 15.52GiB
1775225488,bench_sub_7,0.63%,22.91MiB / 15.52GiB
1775225488,bench_sub_6,0.50%,23.02MiB / 15.52GiB
1775225488,bench_sub_5,0.52%,22.84MiB / 15.52GiB
1775225488,bench_sub_4,0.56%,23.07MiB / 15.52GiB
1775225488,bench_sub_3,0.54%,22.95MiB / 15.52GiB
1775225488,bench_sub_2,0.57%,22.91MiB / 15.52GiB
1775225488,bench_sub_1,0.55%,23.2MiB / 15.52GiB
1775225491,bench_sub_10,0.41%,22.88MiB / 15.52GiB
1775225491,bench_sub_9,0.60%,23.03MiB / 15.52GiB
1775225491,bench_sub_8,0.61%,22.96MiB / 15.52GiB
1775225491,bench_sub_7,0.62%,22.91MiB / 15.52GiB
1775225491,bench_sub_6,0.45%,23.02MiB / 15.52GiB
1775225491,bench_sub_5,0.54%,22.91MiB / 15.52GiB
1775225491,bench_sub_4,0.62%,23.07MiB / 15.52GiB
1775225491,bench_sub_3,0.57%,22.95MiB / 15.52GiB
